Country,Year,Survey,Valid records,Median log welfare,MAD log welfare,Robust scale (1.4826*MAD),outdetect threshold (PPP/day),Records flagged (top),Population share flagged (%),Welfare share flagged (%),mean_ppp_day original,mean_ppp_day outdetect-capped,mean_ppp_day change (%),gini original,gini outdetect-capped,gini change (%),mld original,mld outdetect-capped,mld change (%),atkinson_2 original,atkinson_2 outdetect-capped,atkinson_2 change (%)
BGR,2022,EU-SILC,7186,3.1528431867915323,0.4255243591020381,0.6308824148046817,155.32045452012164,55,0.75005001037862,5.77030563863811,30.462884952884092,29.870064470004277,-1.946041826953393,0.39005511788947944,0.3780086394290225,-3.0884041531459294,0.2745752940948374,0.25745103739955244,-6.236634199641533,0.46832697208542884,0.4578810792612109,-2.2304700448285253
CYP,2011,EU-SILC,3800,3.768094910717754,0.3322857038623592,0.49264678454633376,189.81221937206632,54,0.9941499255373838,5.750246125787013,52.6363499421416,51.496648306386156,-2.1652368315968284,0.3144274453748548,0.2993163097663636,-4.80592131214117,0.1651656420224521,0.14657081452676746,-11.258290324786147,0.26864672264698475,0.2528123814941271,-5.894112906660975
KGZ,2021,KIHS,19920,1.7740841466674593,0.3093142384564791,0.4585892899355759,23.332611483334507,509,1.1764427997268032,5.750038782961396,7.037812538044312,6.907630415418563,-1.8497526315459978,0.28793650670464677,0.2746041836240418,-4.630299656403302,0.13591443141054982,0.12101876423254176,-10.959592019344488,0.22576443116842493,0.2116953332525725,-6.231760177207269
JOR,2006,HEIS,11636,2.478185344996748,0.363236850104522,0.5385349539649643,59.96674789776404,262,1.0180132965410356,5.744200629278714,15.085861635580786,14.829768943680119,-1.6975675509091182,0.3385625355094144,0.3272128703905193,-3.3523098182786204,0.18731416959000047,0.17320601120849233,-7.531815885786186,0.29040728411217864,0.27845237734635886,-4.116600174946661
IDN,2016,SUSENAS,289301,1.5501178882689053,0.4217290314868094,0.6252554620823436,30.749824118602834,2685,0.8516904201507678,5.7388877332892205,6.203846033282053,6.109707580517231,-1.517420842809336,0.3688569890936111,0.3591918823070033,-2.620285658774635,0.22154959077669134,0.20856158981198414,-5.862344822743692,0.32837745882522307,0.31819870771877834,-3.099710663106847
IRL,2020,EU-SILC,3601,3.8375635263784136,0.328328018938,0.48677912087747877,199.91672183550884,54,0.8107760294696911,5.7306097756039,55.833710490081586,54.25497527819851,-2.8275663537774887,0.308315017112762,0.2882838059050824,-6.496994987549842,0.1622741335436899,0.13800728325548217,-14.954231927341798,0.27863960198044535,0.25807816095985503,-7.379224228878023
DOM,2002,ENFT,4111,2.1213682724339322,0.5805879842272654,0.8607797454153436,110.35555912910813,49,0.46203241483957513,5.727726518453091,13.02932323239476,12.79291768519185,-1.814411562184104,0.49579662062955443,0.48651318538573374,-1.8724281000610188,0.44602534235749713,0.42919322946725913,-3.7738019102840026,0.595967196473945,0.588522651586429,-1.249153465419206
MAR,1998,ENNVM,5066,1.5951875725727933,0.44302729740188695,0.6568322711280375,35.36364750802239,95,0.7895098566617125,5.71365192247076,6.654839829396543,6.553804928297819,-1.5182168720638711,0.3935391382853526,0.38425384755509373,-2.359432601980782,0.25652927062867037,0.2434683804271751,-5.09138398494926,0.376384562004909,0.36690561044145054,-2.5184219865358903
EST,2007,EU-SILC,4906,2.9279559929252743,0.3422995601805572,0.5074933279236941,85.6642834933483,27,0.7994183703118908,5.70021918764675,23.04130859611113,22.412719521472585,-2.728096245126621,0.335562619692534,0.316984032489273,-5.536548504801875,0.20239963063986144,0.17794027583869987,-12.084683516386042,0.4802879853659472,0.4658661767520339,-3.002741907633777
PAN,2021,EH,6031,2.957332298942124,0.5875087036994842,0.8710404041048552,262.55314305023705,51,0.4167866733162031,5.6949596413983485,30.937174086072,30.26960101828727,-2.15783466818088,0.5074921623279377,0.49667305266816497,-2.131877191983411,0.4644817650745212,0.44437051791758675,-4.329824907918145,0.5980863963793248,0.5892468722412585,-1.4779677637844157
SWZ,2009,HIES,3167,0.7808039767998531,0.5995051297493936,0.8888263053664509,31.414918542402145,52,0.46736916911361837,5.693421146934409,3.729544970791308,3.664029912509192,-1.7566501756973163,0.5145260439736601,0.5058856935274489,-1.6792834002108292,0.4633152775514874,0.4471158356082642,-3.496418686824543,0.5722209331134567,0.5645981578973522,-1.3321384757158161
IRL,2022,EU-SILC,4036,3.914796027772828,0.32213249608956396,0.4775936387023875,210.09859990436547,134,0.8799671791385004,5.686731988463867,59.15822832452118,57.64285715357006,-2.561556040249091,0.30108989833976385,0.2827915383661087,-6.077374257507118,0.15543498988382565,0.1333650214917741,-14.198841849281795,0.293312505569154,0.2751110540361663,-6.205480907699091
IDN,2004,SUSENAS,10016,1.0831806023454926,0.32497399856231524,0.48180645026848856,12.535942937476856,181,1.1782599052745657,5.675017267247658,3.597365112527406,3.5409200106059213,-1.5690679193201995,0.30416506209888716,0.29314377712758866,-3.623455269729625,0.1495821652322622,0.1369234970066897,-8.462685511950486,0.23716846720695184,0.22542065244144227,-4.953362857996835
SRB,2005,HBS,4272,2.4573356175105463,0.40748372817228073,0.6041353753882234,71.50316708937166,41,0.877823772413625,5.67303094697073,14.626739946840258,14.424632261862222,-1.3817684987398549,0.3646042335443125,0.35576763804473654,-2.4236129717078447,0.22622989707226981,0.21458300440150202,-5.148255302015703,0.35848693017299127,0.3496582662273304,-2.4627575519700184
EST,2004,HBS,3165,2.4353641231780663,0.3895044444119087,0.5774792892850957,64.5733631769675,25,0.8156445550855301,5.671114030712082,13.967663100332082,13.702230119275098,-1.900339227473724,0.35378188664723076,0.3413600045241044,-3.511169619464627,0.21309750471965527,0.1970214001131283,-7.5440135386269365,0.34160788042805734,0.32908659724308276,-3.665396468396631
HND,2007,EPHPM,19901,1.8195092566974869,0.6948189710096808,1.0301386064189528,135.62925213549156,119,0.2799543268878464,5.669313182359841,11.113016171785436,10.862684440879558,-2.2525993576922754,0.5578475990873635,0.5476832912292642,-1.822058188424236,0.5838964284452555,0.5622604298225244,-3.705451441164198,0.6845570567886904,0.6772944186280723,-1.0609251761551808
VEN,1995,EHM,6752,1.9142925130402315,0.5566239188834678,0.8252506221366294,80.64399783734206,103,0.463683615883767,5.668693871669938,9.894485754236387,9.707530651818146,-1.889487812322077,0.46622858394096667,0.45598884239528936,-2.1962920975634237,0.3943210059110751,0.3768743957875884,-4.424468862158748,0.8658831502731072,0.863302989422096,-0.2979802586754787
SVK,2006,HBS,4384,2.706734537004754,0.28995048002424895,0.4298805816839515,54.40065977779325,73,1.0914170450559564,5.66701029994028,17.413930216586138,17.020819071025528,-2.2574521700229777,0.2770951019250374,0.26048553342804803,-5.994176144435325,0.12817001243509596,0.10957508309367148,-14.508018676241274,0.2085730657224638,0.19090399496633836,-8.471405785268871
CRI,2011,ENAHO,10988,2.7316959844380384,0.5833079728625523,0.86481240056602,205.64125830447998,63,0.44533290806086034,5.666318991302989,23.955302405266092,23.513706751432725,-1.8434150667882676,0.4866960289236256,0.47708479100356793,-1.974792755411181,0.42188626981748856,0.4045879061927029,-4.100243326778341,0.5745513888812515,0.5665822697392429,-1.3870159042737362
PHL,2006,FIES,76668,1.4714214008259305,0.52518897034406,0.7786451674321033,45.031259453071094,655,0.52334513923359,5.662730747280797,6.652477666536364,6.511434675740736,-2.1201572987626816,0.45308766002899836,0.44128716689618475,-2.6044613821657348,0.3424617079868084,0.3230357811542739,-5.672437641782368,0.4544824215156392,0.442731786689639,-2.585498199647285
TCD,2018,EHCVM,7489,1.0575801226427388,0.4154184255542639,0.6158993577267516,18.270325673564972,273,0.8597209895694341,5.660102512033558,3.8130318190764085,3.7542841339785578,-1.5407079690218928,0.374991544944562,0.36527154579886945,-2.5920582148404314,0.23072245026213634,0.21759764994418873,-5.688566631914583,0.34398579125552,0.333893547378316,-2.933913008548439
SLE,2003,SLIHS,3713,0.5760513663339102,0.4252453257822584,0.6304687200047763,11.792426770830204,35,0.8855922301836442,5.658028584491733,2.4678505810655236,2.432651704998859,-1.4262968891522898,0.4016773206204164,0.3930927059552477,-2.1371917767000648,0.2644967929113996,0.2525317192630431,-4.523712184428852,0.38040622233443566,0.3716028276211685,-2.3142089157331514
