"Country","Year","Survey","Valid records","Median log welfare (unweighted)","S estimate, log space (unweighted, 1.1926 scaled)","outdetect threshold (PPP/day)","Records flagged (top)","Population share flagged (%)","Welfare share flagged (%)","mean_ppp_day original","mean_ppp_day outdetect-capped","mean_ppp_day change (%)","gini original","gini outdetect-capped","gini change (%)","mld original","mld outdetect-capped","mld change (%)","atkinson_2 original","atkinson_2 outdetect-capped","atkinson_2 change (%)"
"RUS",2010,"HBS",186766,2.71167059015893,0.551371202323943,78.7111007651896,960,2.4701926654697,12.0376332572405,22.9639222930909,22.1439253839831,-3.57080510307463,0.395489775934439,0.373559123892551,-5.54518811265647,0.259861121563072,0.231265669660586,-11.004128563166,0.386113492737599,0.364078309930255,-5.70691861895613
"BGR",2021,"EU-SILC",7481,3.14570107895106,0.583060563387304,133.604343140786,105,1.54575132069416,11.9692952205865,30.8796472385508,29.2487619960965,-5.28142446011607,0.405231535908485,0.372316942255149,-8.12241662770525,0.29063027331927,0.242615834786607,-16.5207973637065,0.438959715023039,0.407999413340465,-7.05310775066198
"RUS",2006,"HBS",192795,2.38165948461694,0.582722276507514,62.1671244465103,864,2.40926315471897,11.966940759032,17.4395274836947,16.8503191847039,-3.37857949156974,0.409509505372284,0.38931682779509,-4.93094233767213,0.281734211614073,0.254679913359578,-9.6027735146185,0.416060401455923,0.39622404583739,-4.76766247139103
"ARM",2004,"ILCS",6816,1.65830800118392,0.55675655288117,27.8986321244362,135,1.60656657780272,11.8846684617931,6.47840002061434,6.15667375591091,-4.96613768337379,0.375056325237724,0.342695775878669,-8.62818387039458,0.23738343730655,0.192962791878732,-18.7126136228511,0.337209469130249,0.303069493696151,-10.1242635689185
"PER",2003,"ENAHO",10676,1.74733896349571,0.882720427495524,81.0851831558921,51,0.864435178701494,11.6439578643788,9.34338120081892,8.95637067860135,-4.14208212101688,0.530733881031328,0.510585433577797,-3.79633714252006,0.5042499617351,0.46495452685712,-7.79284836091326,0.606955035117925,0.590010946255185,-2.79165471614358
"MDG",1993,"EPM",4501,0.612721817336513,0.738004189453767,16.8902137422436,48,0.537383625275614,11.6140460788368,2.1035774658147,1.95003225255582,-7.29924216027913,0.452556975065018,0.409635118331031,-9.48429901623335,0.360228077607908,0.28863726782289,-19.8737450618551,0.470074931833383,0.428441965971682,-8.85666582970592
"MOZ",2002,"IAF",8697,0.386086489875941,0.754670068189812,14.1554073284634,186,0.711927679172299,11.509869933641,1.76919978656739,1.66634345513815,-5.8137205424837,0.470390696036914,0.437864826518689,-6.91464984155919,0.380030994576405,0.323976818512093,-14.7498958938316,0.478847555534346,0.446770181736537,-6.69886969810534
"RUS",2017,"HBS",190880,2.74980898204073,0.506442321971186,71.4598638944855,1184,2.24043889888663,11.3415532930556,22.5698011207203,21.6110496862607,-4.24793922344083,0.372390709726255,0.345005224959911,-7.35396562026891,0.229324705332275,0.194904050698808,-15.0095710724206,0.34543834721673,0.317336961663761,-8.13499305429987
"PRY",2004,"EPH",7050,2.19126258786327,0.89073410882697,129.472035319824,63,0.53926319697178,11.3147732666744,13.3472717269876,12.5352532306421,-6.0837788647368,0.522309985571541,0.491500071661295,-5.89877941478221,0.484798821230375,0.425248733042581,-12.2834638988316,0.589731779246113,0.563193075405902,-4.50013120780713
"NAM",2003,"NHIES",9679,1.41157689147292,1.05162692665416,96.2027238226323,102,0.582199919191982,11.3095410879481,7.18680478647104,6.93410232659033,-3.51620041713695,0.633187597728448,0.619928776274753,-2.09397996758942,0.722488953765736,0.688629100471345,-4.6865565373571,0.683265115635084,0.671734010781452,-1.68764723820475
"BGR",2018,"EU-SILC",7124,2.87001782552301,0.571245285988318,97.8811202345429,77,1.22717308923126,11.1322542991693,22.8972459275044,21.5494370503049,-5.8863362059652,0.403758764946311,0.366770909842108,-9.16087979145708,0.299431751977963,0.245967683306095,-17.8551767869304,0.473538407620992,0.440932437178442,-6.88560207953549
"CHL",2015,"CASEN",63478,2.75357802476498,0.69794987051443,127.412217375656,1088,1.28911938740934,11.0994296798155,23.600682604764,22.6236370312095,-4.13990387446368,0.453057888045931,0.429659114780594,-5.16463213260829,0.346336652987092,0.308932324951608,-10.799991197258,0.467920468428139,0.445136060181458,-4.86929078422659
"CHL",1990,"CASEN",20919,1.94979881480425,0.938997006300648,117.541308523883,215,0.599237752419993,11.0980559146013,11.702753670156,11.1083274196576,-5.079370781035,0.571299174292334,0.54849921273399,-3.99089699133329,0.587328539187272,0.538218729604793,-8.36155682991925,0.687689702582524,0.670998835584649,-2.42709276221444
"NIC",2001,"EMNV",8298,1.52634678072312,0.807018659319148,51.8006531718214,69,0.669579196166246,10.9649754468185,6.63941690306583,6.2582528669495,-5.7409263747292,0.490043998167139,0.459129412201357,-6.30853271979842,0.419071469050605,0.363620687523867,-13.2318197782255,0.529265411281782,0.500667061318563,-5.40340429463536
"RUS",2016,"HBS",190795,2.74446742829632,0.513328105599248,72.5627529268997,1103,2.36476103329543,10.9288877349501,22.5232456342978,21.7776411105601,-3.31037780186666,0.368484993579874,0.347236682557195,-5.76639792471563,0.223972101064966,0.197801813121051,-11.6846195662215,0.343305919021173,0.321626393676742,-6.31492908897223
"BGR",2017,"EU-SILC",7173,2.8641673299896,0.592075860417128,103.585246485269,76,1.35551592401345,10.8124474139609,23.0247021345593,21.9392828350753,-4.71415131948562,0.405490215689188,0.376406211547827,-7.17255386592459,0.31007852955966,0.268508167834767,-13.4063979805138,0.521262390081896,0.497831769570521,-4.49497622640566
"JAM",2002,"SLC",6969,2.19152638183541,0.775140629900699,91.5557678698618,48,1.0919573134821,10.7857229614217,15.2502629794128,14.6051617667348,-4.23009894025381,0.483159626141496,0.460527623124902,-4.68416684509255,0.401201597201648,0.362377763199669,-9.67688919305713,0.778993780957962,0.769258996576723,-1.24966137332546
"RUS",2004,"HBS",192457,2.22389055177086,0.575540290739395,51.9619346204331,1055,2.14404624296306,10.7499347305045,14.5617331403692,14.1104442391496,-3.09914277970469,0.403158421355637,0.38440411332805,-4.65184578422667,0.274507581807796,0.249565459925915,-9.08613223635665,0.413365118375768,0.395116436755213,-4.41466413331135
