hhid,subnatid,urban,hsize,weight,welfare_ppp_day,predicted_welfare_ppp_day,in_sample_predicted_welfare_ppp_day,actual_to_predicted_ratio,log_residual_crossfit,standardized_log_residual,inconsistency_flag,direction
50511139044.0,305 – Blantyre City,Urban,3,590.0593,98.25054520051549,8.559005361849348,8.631150530805476,11.479201267761146,2.4405368124919056,4.228740273164636,True,reported welfare unusually high
50512147042.0,305 – Blantyre City,Urban,6,1180.1187,74.62540185830444,6.6954376315078665,6.8903624331437525,11.145709356939854,2.411054612810577,4.177656198343155,True,reported welfare unusually high
50505113282.0,305 – Blantyre City,Urban,6,1180.1187,72.44526208601903,6.6954376315078665,6.8903624331437525,10.820093632879345,2.381404927066599,4.126281918901651,True,reported welfare unusually high
90961010004.0,309 – Mulanje,Rural,7,1355.3403,16.923249229340975,1.5908998263853957,1.5867737864339333,10.637532890924657,2.3643885858735283,4.096797550160835,True,reported welfare unusually high
343406003128.0,134 – Karonga,Rural,1,148.4,64.16920155225493,6.264708911208063,6.285229173391812,10.242966187535245,2.326591244417537,4.031305753759573,True,reported welfare unusually high
60624011205.0,306 – Zomba Rural,Rural,5,847.06177,19.655575024257917,1.9260416096986797,1.9553218635768466,10.205166350135572,2.3228940969751606,4.0248996728492665,True,reported welfare unusually high
242403135009.0,224 – Lilongwe City,Urban,4,1044.2465,111.80127163042012,10.986993715140672,10.624208412536706,10.17578370654312,2.3200107511186396,4.019903673328782,True,reported welfare unusually high
343406023011.0,134 – Karonga,Rural,1,148.4,63.31817196768324,6.258180403719357,6.285229173391812,10.117664861507034,2.3142828923232446,4.0099789604364755,True,reported welfare unusually high
50505119087.0,305 – Blantyre City,Urban,7,1376.8052,63.73846578445584,6.33720683002932,6.529086984804065,10.057816873267642,2.3083501305118053,3.99969921022959,True,reported welfare unusually high
303034038090.0,130 – Mzimba,Rural,6,1390.7949,28.88239423562677,2.874509924037808,2.837430299090513,10.047762922681384,2.3073500149691233,3.997966300956716,True,reported welfare unusually high
50512147051.0,305 – Blantyre City,Urban,5,983.43225,73.92847742132629,7.503432133460522,7.331906992542521,9.852621587880089,2.287737570825905,3.963983641084875,True,reported welfare unusually high
212165040192.0,221 – Dedza,Rural,5,1256.5034,21.341497113447293,2.286470624927263,2.32136524281896,9.333816442153596,2.2336439818268197,3.870255188742095,True,reported welfare unusually high
121203018123.0,312 – Mangochi,Rural,13,2738.573,12.106886979806815,1.3195850156969016,1.3007728618469376,9.174768458107192,2.216457157448593,3.8404754222399022,True,reported welfare unusually high
121203801398.0,312 – Mangochi,Rural,8,1685.2756,14.215119359768504,1.549618635881199,1.5537105470039976,9.173301759942374,2.216297282524363,3.84019840550846,True,reported welfare unusually high
50514195078.0,305 – Blantyre City,Urban,5,983.43225,66.55459863600775,7.300304413079512,7.331906992542521,9.116688136561255,2.2101065952129675,3.8294717454481524,True,reported welfare unusually high
222233017304.0,222 – Salima,Rural,6,1506.4268,22.29047022447713,2.471891537230768,2.523654735046048,9.017576171424126,2.1991755808265987,3.8105314776654335,True,reported welfare unusually high
50512147005.0,305 – Blantyre City,Urban,4,786.7458,71.04560351074888,8.059204235786275,7.891197511847249,8.81546135724869,2.176507152228269,3.771253685807323,True,reported welfare unusually high
